Date,DOSat
1/01/2003,8.375202004
2/01/2003,8.439264813
3/01/2003,8.436050065
4/01/2003,8.461802372
5/01/2003,8.47793747
6/01/2003,8.403969866
7/01/2003,8.24696041
8/01/2003,8.221861944
9/01/2003,8.300549333
10/01/2003,8.305294453
11/01/2003,8.273711484
12/01/2003,8.253246989
13/01/2003,8.273711484
14/01/2003,8.268984409
15/01/2003,8.317961371
16/01/2003,8.329060771
17/01/2003,8.273711484
18/01/2003,8.237539519
19/01/2003,8.217164492
20/01/2003,8.137717191
21/01/2003,8.051365443
22/01/2003,8.039104507
23/01/2003,8.116042815
24/01/2003,8.10059647
25/01/2003,8.019220297
26/01/2003,8.023804591
27/01/2003,8.054433598
28/01/2003,8.045232639
29/01/2003,8.080560163
30/01/2003,8.066717913
31/01/2003,8.119135616
1/02/2003,8.248531606
2/02/2003,8.292646824
3/02/2003,8.23283311
4/02/2003,8.22812939
5/02/2003,8.226562081
6/02/2003,8.235970417
7/02/2003,8.142369225
8/02/2003,8.092884326
9/02/2003,8.114496856
10/02/2003,8.111405821
11/02/2003,8.156341292
12/02/2003,8.192156706
13/02/2003,8.286330234
14/02/2003,8.262685843
15/02/2003,8.284751838
16/02/2003,8.276864369
17/02/2003,8.226562081
18/02/2003,8.270559801
19/02/2003,8.351304025
20/02/2003,8.426413168
21/02/2003,8.526527596
22/02/2003,8.528152054
23/02/2003,8.64428317
24/02/2003,8.555815244
25/02/2003,8.42480809
26/02/2003,8.302130738
27/02/2003,8.156341292
28/02/2003,8.119135616
1/03/2003,8.171893931
2/03/2003,8.31637695
3/03/2003,8.455356935
4/03/2003,8.60813079
5/03/2003,8.761995688
6/03/2003,8.807179114
7/03/2003,8.805501506
8/03/2003,8.7670046
9/03/2003,8.765334645
10/03/2003,8.748652577
11/03/2003,8.705427636
12/03/2003,8.609770795
13/03/2003,8.550926993
14/03/2003,8.534652983
15/03/2003,8.567232034
16/03/2003,8.581933153
17/03/2003,8.529776822
18/03/2003,8.481168179
19/03/2003,8.518409945
20/03/2003,8.669019535
21/03/2003,8.787068897
22/03/2003,8.834064348
23/03/2003,8.928810625
24/03/2003,9.010830091
25/03/2003,9.074567288
26/03/2003,9.109207337
27/03/2003,9.149206894
28/03/2003,9.168399159
29/03/2003,9.137014558
30/03/2003,9.079754886
31/03/2003,9.150949984
1/04/2003,9.182382452
2/04/2003,9.173640397
3/04/2003,9.156181247
4/04/2003,9.164906664
